scenario,lines,voice,texts,requests,ttfb_p50_ms,ttfb_p95_ms,ttfb_p99_ms,rtf_p95,rtf_max,underruns,errors,error_rate,gpu_util_avg,gpu_util_max,vram_used_mb_max,vram_delta_30m_mb,sla_ok
nmax_mixed_cached_n10,10,cached,mixed,524,3080.08,4245.64,29047.78,3.2467,19.2709,1497,0,0.0,99.7666666666667,100.0,45748.0,0.0,False
plateau100_mixed_cached,100,cached,mixed,579,34410.69,37464.95,38308.26,35.7513,48.7227,1950,0,0.0,99.93333333333334,100.0,45748.0,0.0,False
plateau100_mixed_clone,100,clone,mixed,582,33726.28,38760.46,41119.86,34.9257,70.1984,1972,0,0.0,99.96666666666664,100.0,45748.0,0.0,False
plateau10_mixed_cached,10,cached,mixed,570,3000.21,4143.58,4617.91,3.0438,4.1986,1612,0,0.0,98.2,100.0,45746.0,0.0,False
plateau10_mixed_clone,10,clone,mixed,587,2955.24,4137.78,4460.74,3.0258,5.1472,1660,0,0.0,100.0,100.0,45748.0,2.0055710306406684,False
plateau30_mixed_cached,30,cached,mixed,575,10164.61,11970.59,12565.57,10.2985,16.2941,1976,0,0.0,99.80000000000001,100.0,45748.0,2.0055710306406684,False
plateau30_mixed_clone,30,clone,mixed,583,9929.24,11749.61,12718.41,10.0283,12.033,1979,0,0.0,99.72222222222223,100.0,45748.0,0.0,False
spike30_mixed_cached,60,cached,mixed,294,19139.58,23053.47,23590.61,20.2773,21.8514,986,0,0.0,99.93333333333332,100.0,45748.0,0.0,
